team_key,confederation
afghanistan,AFC
albania,UEFA
algeria,CAF
american-samoa,OFC
andorra,UEFA
angola,CAF
anguilla,CONCACAF
antigua-and-barbuda,CONCACAF
argentina,CONMEBOL
armenia,UEFA
aruba,CONCACAF
australia,AFC
austria,UEFA
azerbaijan,UEFA
bahamas,CONCACAF
bahrain,AFC
bangladesh,AFC
barbados,CONCACAF
belarus,UEFA
belgium,UEFA
belize,CONCACAF
benin,CAF
bermuda,CONCACAF
bhutan,AFC
bolivia,CONMEBOL
bonaire,CONCACAF
bosnia-and-herzegovina,UEFA
botswana,CAF
brazil,CONMEBOL
british-virgin-islands,CONCACAF
brunei,AFC
bulgaria,UEFA
burkina-faso,CAF
burundi,CAF
cambodia,AFC
cameroon,CAF
canada,CONCACAF
cape-verde,CAF
cayman-islands,CONCACAF
central-african-republic,CAF
chad,CAF
chile,CONMEBOL
china,AFC
colombia,CONMEBOL
comoros,CAF
congo,CAF
cook-islands,OFC
costa-rica,CONCACAF
croatia,UEFA
cuba,CONCACAF
curacao,CONCACAF
cyprus,UEFA
czech-republic,UEFA
denmark,UEFA
djibouti,CAF
dominica,CONCACAF
dominican-republic,CONCACAF
dr-congo,CAF
ecuador,CONMEBOL
egypt,CAF
el-salvador,CONCACAF
england,UEFA
equatorial-guinea,CAF
eritrea,CAF
estonia,UEFA
eswatini,CAF
ethiopia,CAF
faroe-islands,UEFA
fiji,OFC
finland,UEFA
france,UEFA
french-guiana,CONCACAF
gabon,CAF
gambia,CAF
georgia,UEFA
germany,UEFA
ghana,CAF
gibraltar,UEFA
greece,UEFA
grenada,CONCACAF
guadeloupe,CONCACAF
guam,AFC
guatemala,CONCACAF
guinea,CAF
guinea-bissau,CAF
guyana,CONCACAF
haiti,CONCACAF
honduras,CONCACAF
hong-kong,AFC
hungary,UEFA
iceland,UEFA
india,AFC
indonesia,AFC
iran,AFC
iraq,AFC
israel,UEFA
italy,UEFA
ivory-coast,CAF
jamaica,CONCACAF
japan,AFC
jordan,AFC
kazakhstan,UEFA
kenya,CAF
kosovo,UEFA
kuwait,AFC
kyrgyzstan,AFC
laos,AFC
latvia,UEFA
lebanon,AFC
lesotho,CAF
liberia,CAF
libya,CAF
liechtenstein,UEFA
lithuania,UEFA
luxembourg,UEFA
macau,AFC
madagascar,CAF
malawi,CAF
malaysia,AFC
maldives,AFC
mali,CAF
malta,UEFA
martinique,CONCACAF
mauritania,CAF
mauritius,CAF
mexico,CONCACAF
moldova,UEFA
mongolia,AFC
montenegro,UEFA
montserrat,CONCACAF
morocco,CAF
mozambique,CAF
myanmar,AFC
namibia,CAF
nepal,AFC
netherlands,UEFA
new-caledonia,OFC
new-zealand,OFC
nicaragua,CONCACAF
niger,CAF
nigeria,CAF
north-korea,AFC
north-macedonia,UEFA
northern-ireland,UEFA
northern-mariana-islands,AFC
norway,UEFA
oman,AFC
pakistan,AFC
palestine,AFC
panama,CONCACAF
papua-new-guinea,OFC
paraguay,CONMEBOL
peru,CONMEBOL
philippines,AFC
poland,UEFA
portugal,UEFA
puerto-rico,CONCACAF
qatar,AFC
republic-of-ireland,UEFA
romania,UEFA
russia,UEFA
rwanda,CAF
saint-kitts-and-nevis,CONCACAF
saint-lucia,CONCACAF
saint-martin,CONCACAF
saint-vincent-and-the-grenadines,CONCACAF
samoa,OFC
san-marino,UEFA
sao-tome-and-principe,CAF
saudi-arabia,AFC
scotland,UEFA
senegal,CAF
serbia,UEFA
seychelles,CAF
sierra-leone,CAF
singapore,AFC
sint-maarten,CONCACAF
slovakia,UEFA
slovenia,UEFA
solomon-islands,OFC
somalia,CAF
south-africa,CAF
south-korea,AFC
south-sudan,CAF
spain,UEFA
sri-lanka,AFC
sudan,CAF
suriname,CONCACAF
sweden,UEFA
switzerland,UEFA
syria,AFC
tahiti,OFC
taiwan,AFC
tajikistan,AFC
tanzania,CAF
thailand,AFC
timor-leste,AFC
togo,CAF
tonga,OFC
trinidad-and-tobago,CONCACAF
tunisia,CAF
turkey,UEFA
turkmenistan,AFC
turks-and-caicos-islands,CONCACAF
tuvalu,OFC
uganda,CAF
ukraine,UEFA
united-arab-emirates,AFC
united-states,CONCACAF
united-states-virgin-islands,CONCACAF
uruguay,CONMEBOL
uzbekistan,AFC
vanuatu,OFC
venezuela,CONMEBOL
vietnam,AFC
wales,UEFA
yemen,AFC
zambia,CAF
zanzibar,CAF
zimbabwe,CAF
